noise_std,noise_percentage,noise_mean,seed,task,run,duplicate,accuracy,accuracy_pass_at_1,accuracy_pass_at_2,accuracy_pass_at_5
0.0055,1.0,0.0,6,gsm8k,1,0,0.03333333333333333,,,
0.0055,1.0,0.0,7,gsm8k,1,0,0.03333333333333333,,,
0.0055,1.0,0.0,8,gsm8k,1,0,0.0,,,
0.0055,1.0,0.0,9,gsm8k,1,0,0.0,,,
0.0055,1.0,0.0,10,gsm8k,1,0,0.0,,,
0.0055,1.0,0.0,11,gsm8k,1,0,0.16666666666666666,,,
0.0055,1.0,0.0,12,gsm8k,1,0,0.03333333333333333,,,
0.0055,1.0,0.0,13,gsm8k,1,0,0.03333333333333333,,,
0.0055,1.0,0.0,14,gsm8k,1,0,0.06666666666666667,,,
0.0055,1.0,0.0,15,gsm8k,1,0,0.06666666666666667,,,
0.0055,1.0,0.0,16,gsm8k,1,0,0.0,,,
0.0055,1.0,0.0,17,gsm8k,1,0,0.03333333333333333,,,
0.0055,1.0,0.0,18,gsm8k,1,0,0.03333333333333333,,,
0.0055,1.0,0.0,19,gsm8k,1,0,0.03333333333333333,,,
0.0055,1.0,0.0,20,gsm8k,1,0,0.06666666666666667,,,
