noise_std,noise_percentage,noise_mean,seed,task,run,duplicate,accuracy,accuracy_pass_at_1,accuracy_pass_at_2,accuracy_pass_at_5
1E-7,1.0,0.0,1,gsm8k,1,0,0.13333333333333333,,,
1E-7,1.0,0.0,1,gsm8k,2,1,0.7333333333333333,,,
1E-7,1.0,0.0,1,gsm8k,3,1,0.7333333333333333,,,
1E-7,1.0,0.0,1,gsm8k,4,1,0.0,,,
1E-7,1.0,0.0,1,gsm8k,5,1,0.6666666666666666,,,
1E-7,1.0,0.0,1,gsm8k,6,1,0.8,,,
1E-7,1.0,0.0,1,gsm8k,7,1,0.7666666666666667,,,
1E-7,1.0,0.0,1,gsm8k,8,1,,,,
1E-7,1.0,0.0,2,gsm8k,1,0,0.6666666666666666,,,
1E-7,1.0,0.0,3,gsm8k,1,0,0.7,,,
0.005,1.0,0.0,1,gsm8k,1,0,0.7666666666666667,,,
0.01,1.0,0.0,1,gsm8k,1,0,0.7666666666666667,,,
0.03,1.0,0.0,1,gsm8k,1,0,0.7333333333333333,,,
0.05,1.0,0.0,1,gsm8k,1,0,0.5666666666666667,,,
0.06,1.0,0.0,1,gsm8k,1,0,,,,
0.06,1.0,0.0,1,gsm8k,2,1,0.06666666666666667,,,
0.07,1.0,0.0,1,gsm8k,1,0,0.0,,,
0.1,1.0,0.0,1,gsm8k,1,0,0.0,,,
