std,sample_size,avg_max_accuracy,proportion_recovered
0.03,1,0.014533333333333317,0.02076190476190474
0.03,2,0.022566666666666648,0.03223809523809521
0.03,5,0.03979999999999996,0.05685714285714281
0.03,10,0.05139999999999995,0.07342857142857137
0.03,20,0.059366666666666616,0.08480952380952374
0.03,50,0.06569999999999997,0.09385714285714282
0.03,100,0.06666666666666662,0.09523809523809518
0.05,1,0.017466666666666655,0.024952380952380938
0.05,2,0.028733333333333312,0.04104761904761902
0.05,5,0.05289999999999997,0.07557142857142853
0.05,10,0.07446666666666663,0.10638095238095233
0.05,20,0.1021333333333333,0.14590476190476187
0.05,50,0.14376666666666665,0.2053809523809524
0.05,100,0.169,0.24142857142857146
