noise_std,noise_percentage,noise_mean,seed,task,run,duplicate,accuracy,accuracy_pass_at_1,accuracy_pass_at_2,accuracy_pass_at_5
0.05,1.0,0.0,256,gsm8k,1,0,0.06666666666666667,,,
0.05,1.0,0.0,257,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,258,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,259,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,260,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,261,gsm8k,1,0,0.06666666666666667,,,
0.05,1.0,0.0,262,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,263,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,264,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,265,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,266,gsm8k,1,0,0.2,,,
0.05,1.0,0.0,267,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,268,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,269,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,270,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,271,gsm8k,1,0,0.06666666666666667,,,
0.05,1.0,0.0,272,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,273,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,274,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,275,gsm8k,1,0,0.16666666666666666,,,
0.05,1.0,0.0,276,gsm8k,1,0,0.06666666666666667,,,
0.05,1.0,0.0,277,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,278,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,279,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,280,gsm8k,1,0,0.06666666666666667,,,
0.05,1.0,0.0,281,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,282,gsm8k,1,0,0.06666666666666667,,,
0.05,1.0,0.0,283,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,284,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,285,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,286,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,287,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,288,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,289,gsm8k,1,0,0.1,,,
0.05,1.0,0.0,290,gsm8k,1,0,0.06666666666666667,,,
0.05,1.0,0.0,291,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,292,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,293,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,294,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,295,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,296,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,297,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,298,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,299,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,300,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,301,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,302,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,303,gsm8k,1,0,0.1,,,
0.05,1.0,0.0,304,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,305,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,306,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,307,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,308,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,309,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,310,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,311,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,312,gsm8k,1,0,0.36666666666666664,,,
0.05,1.0,0.0,313,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,314,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,315,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,316,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,317,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,318,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,319,gsm8k,1,0,0.06666666666666667,,,
0.05,1.0,0.0,320,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,321,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,322,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,323,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,324,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,325,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,326,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,327,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,328,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,329,gsm8k,1,0,0.16666666666666666,,,
0.05,1.0,0.0,330,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,331,gsm8k,1,0,0.13333333333333333,,,
0.05,1.0,0.0,332,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,333,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,334,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,335,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,336,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,337,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,338,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,339,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,340,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,341,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,342,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,343,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,344,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,345,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,346,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,347,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,348,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,349,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,350,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,351,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,352,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,353,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,354,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,355,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,356,gsm8k,1,0,0.06666666666666667,,,
0.05,1.0,0.0,357,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,358,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,359,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,360,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,361,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,362,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,363,gsm8k,1,0,0.03333333333333333,,,
