noise_std,noise_percentage,noise_mean,seed,task,run,duplicate,accuracy,accuracy_pass_at_1,accuracy_pass_at_2,accuracy_pass_at_5
0.0045,1.0,0.0,2,gsm8k,1,0,0.13333333333333333,,,
0.0045,1.0,0.0,2,gsm8k,2,1,0.13333333333333333,,,
0.004575,1.0,0.0,2,gsm8k,1,0,0.13333333333333333,,,
0.004575,1.0,0.0,2,gsm8k,2,1,0.13333333333333333,,,
0.00465,1.0,0.0,2,gsm8k,1,0,0.13333333333333333,,,
0.00465,1.0,0.0,2,gsm8k,2,1,0.13333333333333333,,,
0.004725,1.0,0.0,2,gsm8k,1,0,0.13333333333333333,,,
0.004725,1.0,0.0,2,gsm8k,2,1,0.13333333333333333,,,
0.0048,1.0,0.0,2,gsm8k,1,0,0.1,,,
0.0048,1.0,0.0,2,gsm8k,2,1,0.1,,,
0.004875,1.0,0.0,2,gsm8k,1,0,0.13333333333333333,,,
0.004875,1.0,0.0,2,gsm8k,2,1,0.13333333333333333,,,
0.00495,1.0,0.0,2,gsm8k,1,0,0.2,,,
0.00495,1.0,0.0,2,gsm8k,2,1,0.2,,,
0.005025,1.0,0.0,2,gsm8k,1,0,0.16666666666666666,,,
0.005025,1.0,0.0,2,gsm8k,2,1,0.16666666666666666,,,
0.0051,1.0,0.0,2,gsm8k,1,0,0.13333333333333333,,,
0.0051,1.0,0.0,2,gsm8k,2,1,0.13333333333333333,,,
0.005175,1.0,0.0,2,gsm8k,1,0,0.13333333333333333,,,
0.00525,1.0,0.0,2,gsm8k,1,0,0.13333333333333333,,,
0.005325,1.0,0.0,2,gsm8k,1,0,0.13333333333333333,,,
0.0054,1.0,0.0,2,gsm8k,1,0,0.16666666666666666,,,
0.005475,1.0,0.0,2,gsm8k,1,0,0.16666666666666666,,,
0.00555,1.0,0.0,2,gsm8k,1,0,0.2,,,
0.005625,1.0,0.0,2,gsm8k,1,0,0.23333333333333334,,,
0.0057,1.0,0.0,2,gsm8k,1,0,0.2,,,
0.005775,1.0,0.0,2,gsm8k,1,0,0.2,,,
0.00585,1.0,0.0,2,gsm8k,1,0,0.16666666666666666,,,
0.005925,1.0,0.0,2,gsm8k,1,0,0.1,,,
0.006,1.0,0.0,2,gsm8k,1,0,0.16666666666666666,,,
