noise_std,noise_percentage,noise_mean,seed,task,run,duplicate,accuracy,accuracy_pass_at_1,accuracy_pass_at_2,accuracy_pass_at_5
0.0,1.0,0.0,1,gsm8k,1,0,0.13333333333333333,,,
0.0,1.0,0.0,1,gsm8k,2,1,,,,
0.0,1.0,0.0,1,gsm8k,3,1,,,,
0.0,1.0,0.0,1,gsm8k,4,1,,,,
0.0,1.0,0.0,1,gsm8k,5,1,,,,
0.0,1.0,0.0,1,gsm8k,6,1,0.13333333333333333,,,
0.0,1.0,0.0,2,gsm8k,1,0,0.13333333333333333,,,
0.0,1.0,0.0,3,gsm8k,1,0,0.13333333333333333,,,
0.0,1.0,0.0,4,gsm8k,1,0,0.13333333333333333,,,
0.0,1.0,0.0,5,gsm8k,1,0,0.13333333333333333,,,
0.002,1.0,0.0,1,gsm8k,1,0,0.06666666666666667,,,
0.002,1.0,0.0,1,gsm8k,2,1,,,,
0.002,1.0,0.0,1,gsm8k,3,1,,,,
0.002,1.0,0.0,2,gsm8k,1,0,0.1,,,
0.002,1.0,0.0,3,gsm8k,1,0,0.06666666666666667,,,
0.002,1.0,0.0,4,gsm8k,1,0,0.03333333333333333,,,
0.002,1.0,0.0,5,gsm8k,1,0,0.1,,,
0.004,1.0,0.0,1,gsm8k,1,0,0.03333333333333333,,,
0.004,1.0,0.0,2,gsm8k,1,0,0.03333333333333333,,,
0.004,1.0,0.0,3,gsm8k,1,0,0.0,,,
0.004,1.0,0.0,4,gsm8k,1,0,0.13333333333333333,,,
0.004,1.0,0.0,5,gsm8k,1,0,0.03333333333333333,,,
0.005,1.0,0.0,1,gsm8k,1,0,0.03333333333333333,,,
0.005,1.0,0.0,2,gsm8k,1,0,0.2,,,
0.005,1.0,0.0,3,gsm8k,1,0,0.0,,,
0.005,1.0,0.0,4,gsm8k,1,0,0.06666666666666667,,,
0.005,1.0,0.0,5,gsm8k,1,0,0.03333333333333333,,,
0.006,1.0,0.0,1,gsm8k,1,0,0.03333333333333333,,,
0.006,1.0,0.0,2,gsm8k,1,0,0.16666666666666666,,,
0.006,1.0,0.0,3,gsm8k,1,0,0.13333333333333333,,,
0.006,1.0,0.0,4,gsm8k,1,0,0.06666666666666667,,,
0.006,1.0,0.0,5,gsm8k,1,0,0.03333333333333333,,,
0.007,1.0,0.0,1,gsm8k,1,0,0.1,,,
0.007,1.0,0.0,2,gsm8k,1,0,0.0,,,
0.007,1.0,0.0,3,gsm8k,1,0,0.03333333333333333,,,
0.007,1.0,0.0,4,gsm8k,1,0,0.06666666666666667,,,
0.007,1.0,0.0,5,gsm8k,1,0,0.0,,,
0.008,1.0,0.0,1,gsm8k,1,0,0.0,,,
0.008,1.0,0.0,2,gsm8k,1,0,0.0,,,
0.008,1.0,0.0,3,gsm8k,1,0,0.06666666666666667,,,
0.008,1.0,0.0,4,gsm8k,1,0,0.0,,,
0.008,1.0,0.0,5,gsm8k,1,0,0.03333333333333333,,,
